"time","power","units","fan 0","fan 1","fan 2","temp 0","temp 1","temp 2","Unit 1 ethash H/s","Unit 2 ethash H/s","Unit 3 ethash H/s",
"21/03/2022 11:10:00",299,3,60,50,47,51,52,64,21252161,28371787,27223297,
"21/03/2022 11:15:00",301,3,60,50,47,51,52,64,21235242,28354017,27226539,
"21/03/2022 11:20:00",302,3,60,50,47,51,52,64,21239453,28366931,27226541,
"21/03/2022 11:25:00",296,3,60,50,47,51,52,64,21260103,28357266,27231396,
"21/03/2022 11:30:00",299,3,60,50,47,51,52,64,21236449,28372591,27227355,
"21/03/2022 11:35:00",303,3,60,50,47,51,52,64,21232180,28349953,27233020,
"21/03/2022 11:40:00",299,3,60,50,47,51,52,64,21234615,28360460,27221683,
"21/03/2022 11:45:00",303,3,60,50,47,51,52,64,21258249,28355593,27219252,
"21/03/2022 11:50:00",299,3,60,50,47,51,52,64,21236419,28370973,27215213,
"21/03/2022 11:55:00",299,3,60,48,47,51,52,64,21244908,28318500,27225731,
"21/03/2022 12:00:00",265,3,60,50,47,51,52,64,21250962,28384742,27220059,
"21/03/2022 12:05:00",298,3,60,49,47,52,52,64,21235798,28369356,27225736,
"21/03/2022 12:10:00",302,3,60,50,47,51,52,64,21247350,28380688,27223299,
"21/03/2022 12:15:00",298,3,60,50,47,51,52,64,21234044,28347623,27232208,
"21/03/2022 12:20:00",302,3,60,50,47,52,52,64,21247924,28380693,27226544,
"21/03/2022 12:25:00",301,3,60,50,47,51,52,64,21254564,28378260,27229779,
"21/03/2022 12:30:00",298,3,60,50,47,51,52,64,21251561,28314489,27212792,
"21/03/2022 12:35:00",298,3,60,50,47,51,52,64,21237635,28326531,27220880,
"21/03/2022 12:40:00",301,3,60,50,47,51,52,64,21245499,28348373,27215221,
"21/03/2022 12:45:00",299,3,60,50,47,51,52,64,21227975,28357223,27230594,
"21/03/2022 12:55:14","-","-",0,0,0,0,0,0,0,0,0,
"21/03/2022 13:00:14","-","-",0,0,0,0,0,0,0,0,0,
